day,temperature
1,9.7
2,9.8
3,9.9
4,9.9
5,10.0
6,10.1
7,10.2
8,10.3
9,10.3
10,10.4
11,10.4
12,10.5
13,10.6
14,10.7
15,10.7
16,10.8
17,10.9
18,11.1
19,11.1
20,11.2
21,11.4
22,11.5
23,11.7
24,11.8
25,11.9
26,12.0
27,12.1
28,12.3
29,12.4
30,12.5
31,12.6
32,12.8
33,12.9
34,12.9
35,13.0
36,13.0
37,13.0
38,13.1
39,13.2
40,13.3
41,13.3
42,13.3
43,13.6
44,13.7
45,13.8
46,13.9
47,14.0
48,14.0
49,14.1
50,14.3
51,14.2
52,14.3
53,14.4
54,14.5
55,14.5
56,14.4
57,14.6
58,14.6
59,14.8
60,14.8
61,14.9
